Remote_Dep_Ct,Remote_Dep_Amt,OnlineWallet_Tx,OnlineWallet_Dollars,DigLogins_UniqDays,DigLogins_TotalLogins,DebitCard_Tx,DebitCard_Spend,Alerts_enrolled,Scaled_Digital_Engagement_Score
2.3513346877207577,17.02003405125188,1.8171205928321397,4.632597689853383,3.2075343299958265,3.419951893353394,1.8171205928321397,12.362416552876098,2.2894284851066637,51.466081315890506
1.9129311827723892,16.22323800134967,2.080083823051904,7.0623678415241535,3.608826080138695,4.2171633265087465,4.973189833268591,25.414766043789406,2.6207413942088964,55.3843046623661
1.8171205928321397,20.55764067260985,0.0,0.0,3.2710663101885897,3.4482172403827303,12.144096100308639,46.22755862824602,0.0,21.666490586520457
1.709975946676697,10.482965576835586,2.7144176165949068,13.03744627372532,3.8258623655447783,4.497941445275415,12.094166529909748,49.704169133961294,3.107232505953859,63.074677007661116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
1.9129311827723892,12.036923309612906,1.2599210498948732,4.900013883064927,0.0,0.0,2.7589241763811208,12.850032046834743,0.0,17.78085640659381
0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.8171205928321397,27.42087621116373
3.7797631496846193,36.27217319625013,0.0,0.0,3.4482172403827303,3.5830478710159466,0.0,0.0,2.8844991406148166,59.36900069734902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8171205928321397,22.394415164647725
0.0,0.0,0.0,0.0,1.9129311827723892,2.0,9.99666555493786,29.798831838658273,2.2894284851066637,32.86767658655082
0.0,0.0,1.5874010519681996,5.909188020638211,4.254320865115006,4.776856181035017,10.691133073976864,37.25048931087047,2.2894284851066637,44.436921872833466
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
0.0,0.0,3.3019272488946267,22.111997744150848,4.626065009182742,4.973189833268591,0.0,0.0,2.2894284851066637,53.596246435746814
0.0,0.0,0.0,0.0,1.709975946676697,1.8171205928321397,0.0,0.0,0.0,9.198934431630597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
0.0,0.0,2.2239800905693157,11.2808142865713,0.0,0.0,10.455594784976293,35.15797703384203,0.0,14.152217043199746
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
2.2894284851066637,9.359901623141157,2.7144176165949068,12.927425975691158,3.530348335326063,4.020725758589058,7.963374241789243,29.524747977371185,0.0,35.074337663880826
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
0.0,0.0,1.0,9.654893846056298,0.0,0.0,3.732511156817248,16.398978718873586,0.0,9.519304847758875
1.9129311827723892,21.836249764187055,2.9624960684073707,19.995832464976242,4.732623491163369,5.484806552432619,1.9129311827723892,4.0258739405996895,2.6207413942088964,65.7085760813915
0.0,0.0,0.0,0.0,0.0,0.0,2.7589241763811208,10.120768948013342,0.0,4.769381339162081
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.769772366365281
